episode,timestep,reward,coverage_pct,ep_steps
187,321408,-31.886,92.87,1684
188,323120,-31.746,92.99,1712
189,324816,-30.526,93.16,1696
190,326548,-25.146,94.23,1732
191,328272,-4.386,97.91,1724
192,329972,-39.605,91.53,1700
193,331668,-13.626,96.23,1696
194,333420,-35.445,92.47,1752
195,335132,-25.246,94.16,1712
196,336832,-7.106,97.41,1700
197,338556,0.813,98.84,1724
198,340252,-8.426,97.17,1696
199,341952,-7.106,97.41,1700
200,343704,-13.347,96.35,1752
201,345388,-24.083,94.30,1684
202,347088,-18.806,95.29,1700
203,348760,-20.246,94.98,1672
204,350452,-4.546,97.87,1692
205,352196,-22.487,94.72,1744
206,353912,-17.425,95.57,1716
207,355640,-8.266,97.22,1728
208,357364,-5.684,97.68,1724
209,359092,2.133,99.07,1728
210,360796,-5.786,97.65,1704
211,362460,-37.186,91.83,1664
212,364180,-3.107,98.14,1720
213,365924,-8.186,97.25,1744
214,367668,-26.386,94.04,1744
215,369420,-12.046,96.58,1752
216,371148,-13.467,96.30,1728
217,372864,-13.526,96.27,1716
218,374596,-22.545,94.69,1732
219,376336,-16.006,95.86,1740
220,378036,0.693,98.82,1700
221,379764,-43.366,90.97,1728
222,381504,-4.306,97.93,1740
223,383244,-5.606,97.70,1740
224,384956,2.054,99.07,1712
225,386676,-16.106,95.81,1720
226,388340,4.414,99.52,1664
227,390056,-4.426,97.90,1716
228,391788,-18.647,95.38,1732
229,393500,-16.146,95.79,1712
230,395208,-1.866,98.36,1708
231,396920,-75.945,85.05,1712
232,398664,0.915,98.85,1744
233,400420,-6.826,97.49,1756
234,402140,-10.905,96.74,1720
235,403856,-17.426,95.57,1716
236,405572,-1.827,98.37,1716
237,407280,-4.467,97.89,1708
238,408976,-13.625,96.23,1696
239,410688,-5.745,97.66,1712
240,412400,2.054,99.07,1712
241,414144,-12.086,96.56,1744
242,415868,-10.887,96.75,1724
243,417628,-6.806,97.50,1760
244,419316,-16.266,95.73,1688
245,421008,-7.146,97.40,1692
246,422720,-4.446,97.90,1712
247,424444,-5.686,97.68,1724
248,426188,-14.687,96.10,1744
249,427928,-10.807,96.78,1740
250,429640,-95.444,81.54,1712
