episode,timestep,reward,coverage_pct,ep_steps
212,164458,148.037,99.49,780
213,165118,207.402,100.00,660
214,165898,146.974,98.97,780
215,166625,202.713,100.00,727
216,167405,148.000,99.49,780
217,168185,145.946,98.46,780
218,168965,146.971,98.97,780
219,169745,146.978,98.97,780
220,170471,202.783,100.00,726
221,171251,144.875,97.95,780
222,172031,148.031,99.49,780
223,172811,146.981,98.97,780
224,173438,209.713,100.00,627
225,174218,148.031,99.49,780
226,174998,147.993,99.49,780
227,175778,143.821,97.44,780
228,176254,220.283,100.00,476
229,177034,146.981,98.97,780
230,177814,147.990,99.49,780
231,178594,143.806,97.44,780
232,179374,145.937,98.46,780
233,180154,148.006,99.49,780
234,180787,209.293,100.00,633
235,181445,207.542,100.00,658
236,182225,148.012,99.49,780
237,183005,148.018,99.49,780
238,183697,205.163,100.00,692
239,184332,209.152,100.00,635
240,185013,205.933,100.00,681
241,185660,208.313,100.00,647
242,186401,201.733,100.00,741
243,187181,145.943,98.46,780
244,187798,210.412,100.00,617
245,188455,207.613,100.00,657
246,189084,209.573,100.00,629
247,189864,143.825,97.44,780
248,190644,146.975,98.97,780
249,191303,207.473,100.00,659
250,192083,145.925,98.46,780
251,192715,209.363,100.00,632
252,193495,146.953,98.97,780
253,194275,147.987,99.49,780
254,195055,148.015,99.49,780
255,195644,212.373,100.00,589
256,196282,208.943,100.00,638
257,196837,214.753,100.00,555
258,197617,148.024,99.49,780
259,198397,147.996,99.49,780
260,199177,142.784,96.92,780
261,199836,207.473,100.00,659
262,200585,201.173,100.00,749
263,201365,148.046,99.49,780
264,202054,205.372,100.00,689
265,202699,208.453,100.00,645
266,203306,211.113,100.00,607
267,204073,199.912,100.00,767
268,204853,146.965,98.97,780
269,205444,212.233,100.00,591
270,206224,134.381,92.82,780
271,207004,145.943,98.46,780
272,207784,145.896,98.46,780
273,208564,148.028,99.49,780
274,209161,211.813,100.00,597
275,209713,214.963,100.00,552
276,210493,148.037,99.49,780
277,211016,216.992,100.00,523
278,211590,213.423,100.00,574
279,212218,209.642,100.00,628
280,212998,146.956,98.97,780
281,213600,211.462,100.00,602
282,214380,148.037,99.49,780
283,215012,209.363,100.00,632
284,215711,204.673,100.00,699
285,216491,146.971,98.97,780
286,217229,201.943,100.00,738
287,217738,217.973,100.00,509
288,218518,146.971,98.97,780
289,219298,146.997,98.97,780
290,219777,220.073,100.00,479
291,220351,213.423,100.00,574
292,220967,210.483,100.00,616
293,221604,209.013,100.00,637
294,222000,225.883,100.00,396
295,222715,203.553,100.00,715
296,223495,148.046,99.49,780
297,224037,215.663,100.00,542
298,224817,139.640,95.38,780
299,225362,215.453,100.00,545
300,226024,207.263,100.00,662
301,226446,224.062,100.00,422
302,227083,209.013,100.00,637
303,227570,219.513,100.00,487
304,228350,146.977,98.97,780
305,229075,202.853,100.00,725
306,229820,201.453,100.00,745
307,230258,222.943,100.00,438
308,230736,220.143,100.00,478
309,231238,218.463,100.00,502
310,231897,207.473,100.00,659
311,232444,215.313,100.00,547
312,233093,208.172,100.00,649
313,233550,221.613,100.00,457
314,234139,212.373,100.00,589
315,234640,218.533,100.00,501
316,235189,215.173,100.00,549
317,235701,217.762,100.00,512
318,236128,223.713,100.00,427
319,236633,218.253,100.00,505
320,237301,206.843,100.00,668
321,237863,214.263,100.00,562
322,238487,209.923,100.00,624
323,238962,220.353,100.00,475
324,239375,224.693,100.00,413
325,239875,218.603,100.00,500
326,240626,201.033,100.00,751
327,241256,209.502,100.00,630
328,241873,210.413,100.00,617
329,242653,146.994,98.97,780
330,243433,142.778,96.92,780
331,244213,141.731,96.41,780
332,244800,212.512,100.00,587
333,245342,215.662,100.00,542
334,245825,219.793,100.00,483
335,246300,220.353,100.00,475
336,246840,215.802,100.00,540
337,247350,217.903,100.00,510
338,247915,214.053,100.00,565
339,248423,218.043,100.00,508
340,248828,225.253,100.00,405
341,249492,207.123,100.00,664
342,250008,217.483,100.00,516
343,250525,217.413,100.00,517
344,251115,212.303,100.00,590
345,251759,208.523,100.00,644
346,252197,222.943,100.00,438
347,252675,220.143,100.00,478
348,253212,216.013,100.00,537
349,253661,222.173,100.00,449
350,254114,221.893,100.00,453
351,254590,220.283,100.00,476
352,255069,220.073,100.00,479
353,255530,221.333,100.00,461
354,256310,140.697,95.90,780
355,257063,200.893,100.00,753
356,257526,221.193,100.00,463
357,258003,220.213,100.00,477
358,258783,148.022,99.49,780
359,259204,224.133,100.00,421
360,259984,148.031,99.49,780
361,260537,214.893,100.00,553
362,260943,225.183,100.00,406
363,261402,221.472,100.00,459
364,261907,218.253,100.00,505
365,262450,215.593,100.00,543
366,262931,219.933,100.00,481
367,263637,204.183,100.00,706
368,264022,226.653,100.00,385
369,264641,210.273,100.00,619
370,265182,215.733,100.00,541
371,265588,225.183,100.00,406
372,266096,218.043,100.00,508
373,266693,211.812,100.00,597
374,267473,145.918,98.46,780
375,267930,221.613,100.00,457
376,268710,144.868,97.95,780
377,269490,148.044,99.49,780
378,269919,223.573,100.00,429
379,270392,220.493,100.00,473
380,270772,227.003,100.00,380
381,271340,213.843,100.00,568
382,271801,221.333,100.00,461
383,272268,220.913,100.00,467
384,272653,226.653,100.00,385
385,273070,224.413,100.00,417
386,273583,217.693,100.00,513
387,274363,146.993,98.97,780
388,274892,216.573,100.00,529
389,275302,224.903,100.00,410
390,275676,227.423,100.00,374
391,276158,219.863,100.00,482
392,276539,226.933,100.00,381
393,276992,221.893,100.00,453
394,277401,224.973,100.00,409
395,277816,224.553,100.00,415
396,278280,221.123,100.00,464
397,278790,217.903,100.00,510
398,279430,208.803,100.00,640
399,279901,220.633,100.00,471
400,280349,222.243,100.00,448
401,280848,218.673,100.00,499
402,281291,222.593,100.00,443
403,282071,137.529,94.36,780
404,282537,220.983,100.00,466
405,283003,220.983,100.00,466
406,283520,217.413,100.00,517
407,283967,222.313,100.00,447
408,284400,223.293,100.00,433
409,284806,225.183,100.00,406
410,285292,219.583,100.00,486
411,285751,221.473,100.00,459
412,286149,225.743,100.00,398
413,286654,218.253,100.00,505
414,287182,216.643,100.00,528
415,287935,200.893,100.00,753
